director_name,平均评分,电影数量,最高评分,最低评分
Dylan Bank,4.2,1,4.2,4.2
E. Elias Merhige,6.4,2,6.9,5.9
E.L. Katz,6.8,1,6.8,6.8
Ed Decter,5.9,1,5.9,5.9
Ed Gass-Donnelly,4.0,1,4.0,4.0
Ed Harris,6.9,2,7.0,6.8
Eddie O'Flaherty,6.6,1,6.6,6.6
Edgar Wright,7.6,4,8.0,7.0
Edward Burns,6.42,4,6.6,6.1
Edward Dmytryk,5.5,1,5.5,5.5
Edward Hall,7.2,1,7.2,7.2
Edward Norton,6.4,1,6.4,6.4
Edward Zwick,7.32,8,8.0,6.3
Efram Potelle,6.1,1,6.1,6.1
Ekachai Uekrongtham,5.7,1,5.7,5.7
Elaine May,4.2,1,4.2,4.2
Eldar Rapaport,6.1,1,6.1,6.1
Eli Craig,7.6,1,7.6,7.6
Eli Roth,5.57,3,5.9,5.4
Elia Kazan,7.87,3,8.2,7.4
Elizabeth Allen Rosenbaum,6.0,2,6.7,5.3
Elizabeth Banks,5.4,2,6.5,4.3
Ellory Elkayem,5.4,1,5.4,5.4
Emile Ardolino,5.7,1,5.7,5.7
Emilio Estevez,7.0,1,7.0,7.0
Emily Dell,4.0,1,4.0,4.0
Emily Young,6.5,1,6.5,6.5
Emma-Kate Croghan,6.4,1,6.4,6.4
Enrique Begne,5.0,1,5.0,5.0
Eric Blakeney,5.7,1,5.7,5.7
Eric Bress,7.7,1,7.7,7.7
Eric Brevig,5.2,2,5.8,4.6
Eric Bross,4.8,2,5.5,4.1
Eric Bugbee,7.1,1,7.1,7.1
Eric Darnell,6.76,5,6.9,6.6
Eric Eason,7.0,1,7.0,7.0
Eric England,4.1,1,4.1,4.1
Eric Lartigau,7.4,1,7.4,7.4
Eric Lavaine,6.1,1,6.1,6.1
Eric Leighton,6.5,1,6.5,6.5
Eric Mendelsohn,5.2,1,5.2,5.2
Eric Nicholas,6.1,1,6.1,6.1
Eric Schaeffer,6.0,1,6.0,6.0
Eric Styles,6.4,1,6.4,6.4
Eric Valette,3.9,2,3.9,3.9
Ericson Core,5.3,2,5.3,5.3
Erik Canuel,7.0,1,7.0,7.0
Erik White,4.9,1,4.9,4.9
Ernest R. Dickerson,6.7,1,6.7,6.7
Ernie Barbarash,5.45,2,5.8,5.1
Errol Morris,7.5,1,7.5,7.5
Etan Cohen,6.0,1,6.0,6.0
Ethan Coen,7.11,7,8.1,6.2
Ethan Maniquis,6.7,1,6.7,6.7
Eugenio Derbez,7.6,1,7.6,7.6
Eugène Lourié,6.7,1,6.7,6.7
Evan Goldberg,6.65,2,6.7,6.6
Eytan Fox,7.3,1,7.3,7.3
F. Gary Gray,6.94,8,7.9,5.7
Fabián Bielinsky,7.9,1,7.9,7.9
Fatih Akin,7.3,1,7.3,7.3
Fede Alvarez,6.5,1,6.5,6.5
Fedor Bondarchuk,5.3,1,5.3,5.3
Fenton Bailey,6.55,2,6.8,6.3
Fernando Baez Mella,6.9,1,6.9,6.9
Fernando León de Aranoa,7.7,1,7.7,7.7
Fernando Meirelles,7.6,3,8.7,6.6
Feroz Abbas Khan,7.4,1,7.4,7.4
Ferzan Ozpetek,7.3,1,7.3,7.3
Fina Torres,5.3,1,5.3,5.3
Finn Taylor,7.0,1,7.0,7.0
Florence Ayisi,7.5,1,7.5,7.5
Florent-Emilio Siri,6.6,1,6.6,6.6
Floria Sigismondi,6.6,1,6.6,6.6
Florian Henckel von Donnersmarck,6.83,3,8.5,6.0
Floyd Mutrux,6.4,1,6.4,6.4
Forest Whitaker,5.9,1,5.9,5.9
Francesca Gregorini,5.9,1,5.9,5.9
Francis Ford Coppola,7.42,11,9.2,4.8
Francis Lawrence,7.0,5,7.6,6.6
Franck Khalfoun,6.1,1,6.1,6.1
Franco Zeffirelli,6.9,1,6.9,6.9
Frank Borzage,6.6,1,6.6,6.6
Frank Capra,8.06,5,8.6,7.3
Frank Coraci,5.9,8,6.5,4.9
Frank Darabont,7.98,4,9.3,6.9
Frank LaLoggia,6.7,1,6.7,6.7
Frank Lotito,8.2,1,8.2,8.2
Frank Marshall,6.42,4,7.3,5.0
Frank Miller,6.47,3,8.1,4.8
Frank Nissen,6.4,1,6.4,6.4
Frank Oz,6.41,7,7.4,5.2
Frank Perry,6.7,1,6.7,6.7
Frank Sebastiano,6.0,1,6.0,6.0
Frank Whaley,5.4,1,5.4,5.4
Franklin J. Schaffner,6.73,3,8.0,5.2
François Girard,7.7,1,7.7,7.7
François Ozon,6.95,2,7.1,6.8
François Truffaut,7.2,1,7.2,7.2
Fred Dekker,3.9,1,3.9,3.9
Fred Durst,5.1,1,5.1,5.1
Fred Savage,2.9,1,2.9,2.9
Fred Schepisi,7.0,1,7.0,7.0
Fred Walton,6.2,1,6.2,6.2
Fred Wolf,5.4,2,5.5,5.3
Fred Zinnemann,7.76,5,8.1,7.4
Frederik Du Chau,5.7,2,6.2,5.2
Fritz Lang,8.3,1,8.3,8.3
Frédéric Auburtin,2.0,1,2.0,2.0
Frédéric Forestier,5.1,1,5.1,5.1
Gabe Ibáñez,6.1,1,6.1,6.1
Gabor Csupo,7.2,1,7.2,7.2
Gabriela Tagliavini,3.2,1,3.2,3.2
Gabriele Muccino,6.98,4,8.0,5.7
Gareth Edwards,6.4,1,6.4,6.4
Gareth Evans,7.6,1,7.6,7.6
Garry Marshall,5.95,8,6.9,5.5
Garth Jennings,6.8,1,6.8,6.8
Gary Chapman,5.6,1,5.6,5.6
Gary David Goldberg,5.9,1,5.9,5.9
Gary Fleder,6.62,6,7.3,6.2
Gary Halvorson,5.8,1,5.8,5.8
Gary Hardwick,6.3,1,6.3,6.3
Gary McKendry,6.5,1,6.5,6.5
Gary Nelson,5.9,1,5.9,5.9
Gary Rogers,3.3,1,3.3,3.3
Gary Ross,7.1,3,7.3,6.7
Gary Sherman,4.5,1,4.5,4.5
Gary Shore,6.3,1,6.3,6.3
Gary Sinyor,6.4,1,6.4,6.4
Gary Trousdale,6.85,2,6.9,6.8
Gary Winick,6.14,5,6.5,5.4
Gaspar Noé,7.35,2,7.4,7.3
Gavin Hood,6.88,4,7.3,6.7
Gavin O'Connor,6.98,5,8.2,5.8
Gavin Wiesen,6.6,1,6.6,6.6
Gene Quintano,6.1,1,6.1,6.1
Gene Teigland,5.6,1,5.6,5.6
Genndy Tartakovsky,6.9,2,7.1,6.7
Geoff Murphy,5.4,1,5.4,5.4
Geoffrey Sax,5.3,2,5.5,5.1
Georg Wilhelm Pabst,8.0,1,8.0,8.0
George A. Romero,6.64,8,8.0,5.0
George Armitage,6.15,2,7.4,4.9
George Clooney,6.76,5,7.5,6.0
George Cukor,7.9,1,7.9,7.9
George Gallo,5.95,2,6.6,5.3
George Hickenlooper,6.3,2,6.4,6.2
George Jackson,5.1,1,5.1,5.1
George Lucas,7.4,5,8.7,6.5
George Miller,6.8,8,8.1,5.8
George Nolfi,7.1,1,7.1,7.1
George P. Cosmatos,6.37,3,7.8,4.9
George Ratliff,5.3,1,5.3,5.3
George Roy Hill,8.2,2,8.3,8.1
George Sidney,6.83,3,7.0,6.5
George Stevens,6.6,1,6.6,6.6
George Tillman Jr.,6.92,4,7.2,6.5
Georgia Hilton,2.2,1,2.2,2.2
Gerald Potterton,6.7,1,6.7,6.7
Gerard Johnstone,6.8,1,6.8,6.8
Gerry Lively,4.9,1,4.9,4.9
Gia Coppola,6.3,1,6.3,6.3
Gideon Raff,4.8,1,4.8,4.8
Gil Junger,6.0,2,7.2,4.8
Gil Kenan,6.55,2,6.6,6.5
Gilles Paquet-Brenner,7.5,1,7.5,7.5
Gillian Armstrong,7.0,2,7.3,6.7
Gillian Robespierre,6.8,1,6.8,6.8
Gina Prince-Bythewood,7.13,3,7.3,6.9
Giovanni Zelko,7.6,1,7.6,7.6
Giuliano Montaldo,6.2,1,6.2,6.2
Giuseppe Tornatore,7.8,1,7.8,7.8
Glen Morgan,5.35,2,6.2,4.5
Glenn Ficarra,6.87,3,7.4,6.6
Gnana Rajasekaran,7.0,1,7.0,7.0
Gonzalo López-Gallego,5.2,1,5.2,5.2
Goran Dukic,7.4,1,7.4,7.4
Gordon Chan,5.2,1,5.2,5.2
Gore Verbinski,6.99,7,8.1,6.1
Graham Annable,6.8,1,6.8,6.8
Grant Heslov,6.2,1,6.2,6.2
Greg Berlanti,7.0,1,7.0,7.0
Greg Coolidge,5.5,1,5.5,5.5
Greg Harrison,6.0,2,6.5,5.5
Greg Marcks,7.2,1,7.2,7.2
Greg Mottola,7.13,3,7.6,6.8
Greg Tiernan,7.5,1,7.5,7.5
Gregor Jordan,6.0,2,6.9,5.1
Gregory Hoblit,6.6,3,7.3,6.2
Gregory Jacobs,5.7,1,5.7,5.7
Gregory Nava,6.7,1,6.7,6.7
Gregory Poirier,5.3,1,5.3,5.3
Gregory Widen,6.6,1,6.6,6.6
Griffin Dunne,5.9,2,6.1,5.7
Guillaume Canet,6.8,2,7.1,6.5
Guillaume Ivernel,6.6,1,6.6,6.6
Guillermo del Toro,7.14,5,8.2,6.7
Gurinder Chadha,6.1,3,6.7,5.4
Gus Van Sant,7.13,7,8.3,6.2
Guy Hamilton,6.95,6,7.8,6.3
Guy Maddin,7.0,1,7.0,7.0
Guy Ritchie,7.11,7,8.3,3.6
Gérard Krawczyk,6.6,1,6.6,6.6
H.M. Coakley,4.9,1,4.9,4.9
Hal Haberman,6.9,1,6.9,6.9
Hal Needham,3.5,1,3.5,3.5
Ham Tran,7.4,1,7.4,7.4
Hank Braxtan,4.0,1,4.0,4.0
Hans Canosa,7.1,1,7.1,7.1
Hans Petter Moland,7.3,1,7.3,7.3
Hao Ning,7.55,2,7.7,7.4
Harald Reinl,6.0,1,6.0,6.0
Harald Zwart,5.5,2,6.0,5.0
Hark Tsui,4.8,1,4.8,4.8
Harley Cokeliss,5.6,1,5.6,5.6
Harmage Singh Kalirai,5.8,1,5.8,5.8
Harmony Korine,5.3,1,5.3,5.3
Harold Becker,6.14,5,6.8,5.5
Harold Cronk,3.4,1,3.4,3.4
Harold Ramis,6.55,8,8.1,4.9
Harry Beaumont,6.3,1,6.3,6.3
Harry Elfont,5.9,2,6.5,5.3
Harry F. Millarde,4.8,1,4.8,4.8
Harry Gantz,4.7,1,4.7,4.7
Hart Bochner,6.5,1,6.5,6.5
Hayao Miyazaki,8.22,4,8.6,7.7
Hayley Cloake,4.3,1,4.3,4.3
Heidi Ewing,6.4,1,6.4,6.4
Henry Alex Rubin,7.8,1,7.8,7.8
Henry Bean,7.2,1,7.2,7.2
Henry Hathaway,7.1,1,7.1,7.1
Henry Hobson,5.6,1,5.6,5.6
Henry Jaglom,7.0,1,7.0,7.0
Henry Joost,5.83,3,7.1,4.6
Henry King,7.0,1,7.0,7.0
Henry Koster,6.8,1,6.8,6.8
Henry Selick,6.2,2,7.7,4.7
Herb Freed,4.5,1,4.5,4.5
Herbert Ross,6.5,1,6.5,6.5
Hideaki Anno,8.2,1,8.2,8.2
Hideo Nakata,5.4,1,5.4,5.4
Hilary Brougher,6.3,1,6.3,6.3
Hironobu Sakaguchi,6.4,1,6.4,6.4
Hitoshi Matsumoto,6.1,1,6.1,6.1
Hong-jin Na,7.7,1,7.7,7.7
Howard Deutch,5.97,3,6.5,5.5
Howard Hawks,7.8,1,7.8,7.8
Howard Hughes,7.8,1,7.8,7.8
Howard Zieff,6.45,2,6.8,6.1
Hoyt Yeatman,5.1,1,5.1,5.1
Hsiao-Hsien Hou,6.4,1,6.4,6.4
Huck Botko,4.6,1,4.6,4.6
Hue Rhodes,5.8,1,5.8,5.8
Hugh Hudson,6.4,2,7.2,5.6
Hugh Johnson,5.2,1,5.2,5.2
Hugh Wilson,5.82,4,6.7,3.8
Hunter Richards,6.6,1,6.6,6.6
Hyung-rae Shim,3.6,2,3.6,3.6
Iain Softley,6.55,4,7.4,6.1
Ian Fitzgibbon,6.4,1,6.4,6.4
Ian Iqbal Rashid,3.3,1,3.3,3.3
Ian Sharp,6.5,1,6.5,6.5
Ice Cube,5.6,1,5.6,5.6
Igor Kovalyov,5.9,1,5.9,5.9
Ingmar Bergman,8.2,1,8.2,8.2
Inna Evlannikova,5.2,1,5.2,5.2
Ira Sachs,6.15,2,6.3,6.0
Irvin Kershner,7.5,2,8.8,6.2
Irwin Winkler,6.45,4,7.5,5.8
Isaac Florentine,4.9,1,4.9,4.9
Isabel Coixet,7.6,1,7.6,7.6
István Szabó,7.1,1,7.1,7.1
Ivan Engler,6.2,1,6.2,6.2
Ivan Kavanagh,6.7,1,6.7,6.7
Ivan Reitman,6.08,8,6.9,5.1
J Blakeson,5.2,1,5.2,5.2
J. Lee Thompson,5.8,2,6.1,5.5
J.A. Bayona,7.55,2,7.6,7.5
J.B. Rogers,5.65,2,6.4,4.9
J.C. Chandor,7.0,3,7.1,6.9
J.J. Abrams,7.45,4,8.0,6.9
J.S. Cardone,5.3,1,5.3,5.3
JK Youn,5.7,1,5.7,5.7
Jack Conway,7.1,1,7.1,7.1
Jack Heller,6.6,1,6.6,6.6
Jack Perez,6.4,1,6.4,6.4
Jack Sholder,5.4,1,5.4,5.4
Jack Smight,6.1,2,7.0,5.2
Jackie Earle Haley,5.8,1,5.8,5.8
Jaco Booyens,6.9,1,6.9,6.9
Jacob Aaron Estes,7.3,1,7.3,7.3
Jacques Perrin,7.9,2,8.0,7.8
Jafar Panahi,7.5,1,7.5,7.5
Jaime Zevallos,7.6,1,7.6,7.6
Jake Goldberger,5.9,1,5.9,5.9
Jake Kasdan,6.12,4,7.0,5.1
Jake Paltrow,5.9,1,5.9,5.9
Jake Schreier,6.75,2,7.1,6.4
Jake Scott,7.0,1,7.0,7.0
Jamaa Fanaka,5.8,1,5.8,5.8
Jamal Hill,7.2,1,7.2,7.2
Jamel Debbouze,4.9,1,4.9,4.9
James Algar,7.5,3,7.8,7.3
James Bidgood,6.7,1,6.7,6.7
James Bobin,6.63,3,7.1,6.4
James Bridges,5.6,1,5.6,5.6
James Cameron,7.91,7,8.5,7.2
James Cox,6.2,3,6.6,5.7
James David Pasternak,6.2,1,6.2,6.2
James DeMonaco,6.1,3,6.5,5.7
James Dodson,6.2,1,6.2,6.2
James Fargo,6.5,1,6.5,6.5
James Foley,6.83,3,7.8,6.0
James Frawley,7.7,1,7.7,7.7
James Gartner,7.2,1,7.2,7.2
James Gray,6.75,4,7.1,6.4
James Gunn,7.13,3,8.1,6.5
James Isaac,4.4,1,4.4,4.4
James Ivory,7.06,7,7.9,5.7
James Kerwin,5.4,1,5.4,5.4
James L. Brooks,6.5,3,7.7,5.3
James Manera,4.4,1,4.4,4.4
James Mangold,7.08,8,7.9,6.3
James Marsh,7.75,2,7.8,7.7
James Mather,6.1,1,6.1,6.1
James McTeigue,6.65,4,8.2,5.6
James Melkonian,4.6,1,4.6,4.6
James Mottern,6.7,1,6.7,6.7
James Nunn,5.4,1,5.4,5.4
James O'Brien,4.0,1,4.0,4.0
James Ponsoldt,7.1,1,7.1,7.1
James Schamus,7.8,1,7.8,7.8
James Toback,5.25,2,5.6,4.9
James Wan,7.2,7,7.8,6.6
James Watkins,6.6,2,6.8,6.4
James Wong,5.28,4,6.7,2.7
Jamie Babbit,6.5,2,6.6,6.4
Jamie Blanks,5.1,2,5.5,4.7
Jamie Thraves,6.0,1,6.0,6.0
Jamie Travis,6.0,1,6.0,6.0
Jamin Winans,7.0,1,7.0,7.0
Jan de Bont,5.52,5,7.2,3.7
Jane Campion,6.63,3,7.6,5.3
Janusz Kaminski,4.8,1,4.8,4.8
Jared Hess,6.23,3,6.9,5.7
Jason Alexander,6.7,1,6.7,6.7
Jason Bateman,6.7,1,6.7,6.7
Jason Connery,3.8,1,3.8,3.8
Jason Eisener,6.1,1,6.1,6.1
Jason Friedberg,2.6,4,3.5,1.9
Jason Miller,7.6,1,7.6,7.6
Jason Moore,7.2,1,7.2,7.2
Jason Naumann,6.9,1,6.9,6.9
Jason Reitman,7.2,6,7.6,6.3
Jason Stone,5.8,1,5.8,5.8
Jason Trost,4.0,1,4.0,4.0
Jason Zada,4.8,1,4.8,4.8
Jaume Balagueró,6.68,4,7.5,5.4
Jaume Collet-Serra,6.48,8,7.0,5.3
Jay Alaimo,4.6,1,4.6,4.6
Jay Chandrasekhar,6.02,4,7.1,5.1
Jay Duplass,6.35,4,6.6,6.0
Jay Levey,7.0,1,7.0,7.0
Jay Oliva,8.4,1,8.4,8.4
Jay Roach,6.49,8,7.0,5.9
Jay Russell,6.73,3,7.0,6.5
Je-kyu Kang,8.1,1,8.1,8.1
Jean-François Richet,6.3,1,6.3,6.3
Jean-Jacques Annaud,7.28,4,7.6,7.0
Jean-Jacques Mantello,6.5,1,6.5,6.5
Jean-Luc Godard,7.55,2,7.7,7.4
Jean-Marc Vallée,7.47,3,8.0,7.1
Jean-Marie Poiré,6.27,3,7.0,5.8
Jean-Paul Rappeneau,7.0,2,7.1,6.9
Jean-Pierre Jeunet,7.34,5,8.4,6.3
Jeannot Szwarc,6.5,2,7.3,5.7
Jeb Stuart,6.55,2,6.7,6.4
Jee-woon Kim,6.85,2,7.3,6.4
Jeff Burr,5.9,1,5.9,5.9
Jeff Crook,4.6,1,4.6,4.6
Jeff Franklin,5.8,1,5.8,5.8
Jeff Garlin,6.2,1,6.2,6.2
Jeff Kanew,5.5,1,5.5,5.5
Jeff Lowell,5.2,1,5.2,5.2
Jeff Nathanson,5.7,1,5.7,5.7
Jeff Nichols,7.2,4,7.4,6.7
Jeff Schaffer,6.6,1,6.6,6.6
Jeff Tremaine,6.85,4,7.1,6.6
Jeff Wadlow,6.37,3,6.6,5.9
Jeffrey St. Jules,5.4,1,5.4,5.4
Jeffrey W. Byrd,4.1,1,4.1,4.1
Jehane Noujaim,8.1,1,8.1,8.1
Jem Cohen,6.0,1,6.0,6.0
Jennifer Finnigan,4.5,1,4.5,4.5
Jennifer Flackett,6.0,1,6.0,6.0
Jennifer Wynne Farmer,6.5,1,6.5,6.5
Jennifer Yuh Nelson,7.3,1,7.3,7.3
Jeremy Brock,6.8,1,6.8,6.8
Jeremy Degruson,6.3,1,6.3,6.3
Jeremy Leven,6.8,1,6.8,6.8
Jeremy Saulnier,7.1,2,7.1,7.1
Jeremy Sims,7.1,1,7.1,7.1
Jerome Elston Scott,7.2,1,7.2,7.2
Jerome Robbins,7.6,1,7.6,7.6
Jerry Belson,6.2,1,6.2,6.2
Jerry Dugan,3.4,1,3.4,3.4
Jerry Jameson,5.0,2,5.3,4.7
Jerry Rees,7.3,1,7.3,7.3
Jerry Zaks,6.7,1,6.7,6.7
Jerry Zucker,6.43,3,7.0,5.9
Jesse Dylan,6.03,3,6.3,5.6
Jesse Peretz,5.95,2,6.4,5.5
Jesse Vaughan,4.5,1,4.5,4.5
Jessica Bendinger,6.4,1,6.4,6.4
Jessie Nelson,6.65,2,7.6,5.7
Jessy Terrero,4.4,1,4.4,4.4
Jeta Amata,5.6,1,5.6,5.6
Jez Butterworth,6.1,1,6.1,6.1
Jill Sprecher,6.75,2,7.1,6.4
Jim Abrahams,7.8,1,7.8,7.8
Jim Amatulli,4.5,1,4.5,4.5
Jim Chuchu,7.4,1,7.4,7.4
Jim Fall,5.3,1,5.3,5.3
Jim Field Smith,6.4,1,6.4,6.4
Jim Gillespie,5.45,2,5.6,5.3
Jim Goddard,3.0,1,3.0,3.0
Jim Hanon,7.0,1,7.0,7.0
Jim Issa,5.2,1,5.2,5.2
Jim Jarmusch,7.5,1,7.5,7.5
Jim Mickle,6.5,1,6.5,6.5
Jim Sheridan,6.3,4,7.1,5.0
Jim Sonzero,4.7,1,4.7,4.7
Jimmy Hayward,5.3,2,5.9,4.7
Jirí Menzel,7.4,1,7.4,7.4
Joachim Rønning,5.7,1,5.7,5.7
Joan Chen,5.5,1,5.5,5.5
Joby Harold,6.5,1,6.5,6.5
Jodie Foster,6.67,3,6.7,6.6
Jody Hill,5.8,1,5.8,5.8
Joe Berlinger,4.0,1,4.0,4.0
Joe Camp,6.1,1,6.1,6.1
Joe Carnahan,6.9,3,7.2,6.7
Joe Chappelle,4.9,1,4.9,4.9
Joe Charbanic,5.3,1,5.3,5.3
Joe Cornish,6.6,1,6.6,6.6
Joe Cross,7.6,1,7.6,7.6
Joe Dante,6.3,7,7.2,5.7
Joe Johnston,6.32,4,6.9,5.8
Joe Kenemore,8.2,1,8.2,8.2
Joe Marino,2.6,1,2.6,2.6
Joe Nussbaum,5.67,3,6.3,5.3
Joe Pytka,6.3,1,6.3,6.3
Joe Roth,5.45,2,5.7,5.2
Joe Swanberg,5.85,2,6.1,5.6
Joe Wright,6.76,7,7.8,5.8
Joel Anderson,6.1,1,6.1,6.1
Joel Coen,7.4,4,8.2,6.3
Joel Edgerton,7.1,2,7.1,7.1
Joel Gallen,5.7,1,5.7,5.7
Joel Paul Reisig,6.15,2,6.6,5.7
Joel Schumacher,6.41,13,7.4,3.7
Joel Zwick,5.45,2,6.6,4.3
Joey Lauren Adams,6.2,1,6.2,6.2
Johanna Schwartz,7.7,1,7.7,7.7
John 'Bud' Cardos,5.9,1,5.9,5.9
John A. Davis,5.95,2,6.0,5.9
John Badham,7.1,1,7.1,7.1
John Blanchard,9.5,1,9.5,9.5
John Bonito,4.7,1,4.7,4.7
John Boorman,5.73,3,7.4,3.7
John Cameron Mitchell,7.1,3,7.8,6.5
John Carl Buechler,5.3,1,5.3,5.3
John Carney,7.65,2,7.9,7.4
John Carpenter,6.83,12,8.2,4.9
John Cornell,5.5,1,5.5,5.5
John Cromwell,7.8,1,7.8,7.8
John Crowley,7.5,1,7.5,7.5
John Curran,6.45,2,7.5,5.4
John D. Hancock,6.6,1,6.6,6.6
John Dahl,6.8,4,7.4,6.5
John Duigan,5.8,1,5.8,5.8
John Eng,5.6,1,5.6,5.6
John Erick Dowdle,6.3,4,6.8,6.0
John Ford,7.55,4,8.1,6.9
John Fortenberry,6.2,1,6.2,6.2
John Francis Daley,6.1,1,6.1,6.1
John Frankenheimer,6.14,5,7.9,4.4
John G. Avildsen,7.5,3,8.1,7.2
John Gatins,6.9,1,6.9,6.9
John Glen,6.6,5,6.8,6.3
John Gray,5.3,1,5.3,5.3
John Guillermin,4.8,1,4.8,4.8
John Gulager,6.4,1,6.4,6.4
John H. Lee,6.8,1,6.8,6.8
John Hamburg,6.37,3,7.1,5.9
John Herzfeld,6.0,2,6.1,5.9
John Hillcoat,7.0,3,7.4,6.3
John Hoffman,5.1,1,5.1,5.1
John Huston,7.4,2,7.4,7.4
John Lafia,5.7,1,5.7,5.7
John Laing,6.3,1,6.3,6.3
John Landis,7.0,5,7.9,5.5
John Lasseter,7.38,5,8.3,6.3
John Lee Hancock,7.05,4,7.7,6.0
John Luessenhop,5.5,2,6.2,4.8
John Maclean,6.9,1,6.9,6.9
John Madden,6.78,5,7.3,5.9
John Maybury,7.1,1,7.1,7.1
John McNaughton,6.5,1,6.5,6.5
John McTiernan,6.63,10,8.2,3.0
John Michael McDonagh,7.3,1,7.3,7.3
John Milius,6.48,4,6.9,5.7
John Moore,5.8,4,6.4,5.3
John Murlowski,5.8,1,5.8,5.8
John Ottman,4.1,1,4.1,4.1
John Pasquin,5.63,3,6.4,5.0
John Patrick Shanley,7.5,1,7.5,7.5
John Polson,5.45,2,5.9,5.0
John Putch,5.5,1,5.5,5.5
John R. Leonetti,4.55,2,5.4,3.7
John Reinhardt,7.1,1,7.1,7.1
John Sayles,6.85,4,7.6,5.8
John Schlesinger,6.23,3,7.9,4.7
John Schultz,5.4,3,5.7,5.1
John Simpson,6.4,1,6.4,6.4
John Singleton,6.26,7,7.8,5.0
John Stainton,5.4,1,5.4,5.4
John Stephenson,5.8,1,5.8,5.8
John Stockwell,6.75,4,9.1,5.6
John Sturges,8.3,1,8.3,8.3
John Turturro,6.25,2,6.3,6.2
John Waters,6.33,3,6.7,6.1
John Wells,6.95,2,7.3,6.6
John Whitesell,4.88,5,5.4,4.4
John Woo,6.52,6,7.4,6.0
Johnnie To,7.3,1,7.3,7.3
Johnny Remo,5.6,1,5.6,5.6
Jon Amiel,6.2,4,6.6,5.4
Jon Avnet,6.0,3,6.1,5.9
Jon Cassar,6.3,1,6.3,6.3
Jon Favreau,7.13,7,7.9,6.1
Jon Gunn,6.03,3,6.6,5.6
Jon Hess,5.1,1,5.1,5.1
Jon Hurwitz,6.65,2,6.7,6.6
Jon Kasdan,6.5,1,6.5,6.5
Jon Knautz,5.63,3,6.0,5.4
Jon Lucas,6.3,2,6.7,5.9
Jon M. Chu,5.34,5,6.9,1.6
Jon Poll,7.0,1,7.0,7.0
Jon Shear,7.0,1,7.0,7.0
Jon Stewart,6.6,1,6.6,6.6
Jon Turteltaub,6.5,7,6.9,6.1
Jon Wright,6.3,1,6.3,6.3
Jonas Elmer,5.6,1,5.6,5.6
Jonas Åkerlund,6.45,2,6.8,6.1
Jonathan Caouette,7.2,1,7.2,7.2
Jonathan Dayton,7.9,1,7.9,7.9
Jonathan Demme,7.1,5,8.6,5.9
Jonathan English,6.2,1,6.2,6.2
Jonathan Frakes,5.85,4,7.6,4.2
Jonathan Glazer,6.57,3,7.3,6.1
Jonathan Hensleigh,6.5,1,6.5,6.5
Jonathan Jakubowicz,7.2,1,7.2,7.2
Jonathan Kaplan,6.4,1,6.4,6.4
Jonathan Kesselman,6.2,1,6.2,6.2
Jonathan Levine,6.8,4,7.7,5.6
Jonathan Liebesman,5.7,6,5.9,4.9
Jonathan Lynn,6.7,4,7.5,5.7
Jonathan Meyers,5.3,1,5.3,5.3
Jonathan Mostow,6.55,4,6.9,6.3
Jonathan Newman,5.4,1,5.4,5.4
Jonathan Parker,5.0,1,5.0,5.0
Jonathan Teplitzky,7.1,1,7.1,7.1
Jonathan Wacks,6.1,1,6.1,6.1
Joon-ho Bong,7.0,2,7.0,7.0
Jorge Blanco,6.1,1,6.1,6.1
Jorge Gaggero,7.2,1,7.2,7.2
Jorge R. Gutiérrez,7.3,1,7.3,7.3
Jorge Ramírez Suárez,7.7,1,7.7,7.7
Jorma Taccone,5.5,1,5.5,5.5
Josef Rusnak,7.0,1,7.0,7.0
Joseph Dorman,6.8,1,6.8,6.8
Joseph Gordon-Levitt,6.6,1,6.6,6.6
Joseph Green,4.1,1,4.1,4.1
Joseph Kahn,4.9,2,5.8,4.0
Joseph Kosinski,7.18,4,8.1,6.8
Joseph L. Mankiewicz,7.0,1,7.0,7.0
Joseph Mazzella,4.8,1,4.8,4.8
Joseph Ruben,5.6,1,5.6,5.6
Joseph Sargent,2.8,1,2.8,2.8
Joseph Zito,5.6,2,5.9,5.3
Josh Boone,7.8,1,7.8,7.8
Josh Gordon,6.2,2,6.3,6.1
Josh Schwartz,5.4,1,5.4,5.4
Josh Trank,5.7,2,7.1,4.3
Joshua Logan,6.7,1,6.7,6.7
Joshua Marston,7.5,1,7.5,7.5
Joshua Michael Stern,6.1,1,6.1,6.1
Joshua Oppenheimer,8.2,1,8.2,8.2
Joshua Seftel,5.7,1,5.7,5.7
Joshua Tickell,7.6,1,7.6,7.6
Joss Whedon,7.87,3,8.1,7.5
José Luis Valenzuela,3.6,1,3.6,3.6
José Padilha,6.83,3,8.1,6.2
Juan Carlos Fresnadillo,7.0,1,7.0,7.0
Juan José Campanella,7.45,2,8.2,6.7
Judd Apatow,6.6,5,7.1,6.2
Jugal Hansraj,5.3,1,5.3,5.3
Julian Gilbey,6.15,2,6.3,6.0
Julian Jarrold,7.1,2,7.1,7.1
Julian Schnabel,7.45,2,8.0,6.9
Julie Anne Robinson,5.55,2,5.8,5.3
Julie Davis,5.4,1,5.4,5.4
Julie Taymor,6.9,4,7.4,5.4
Julien Temple,6.6,1,6.6,6.6
Julio DePietro,5.9,1,5.9,5.9
Jun Falkenstein,6.3,1,6.3,6.3
Juraj Jakubisko,6.0,1,6.0,6.0
